Sell ID,Name,Type,Price
219,Jofra Archer,All-Rounder,"2,00,00,000"
220,Daniel Sams,All-Rounder,"2,00,00,000"
221,Tymal Mills,Bowler,"2,00,00,000"
222,Tim David,All-Rounder,"2,00,00,000"
223,Aryan Juyal,Wicket Keeper,"1,00,00,000"
224,Fabian Allen,All-Rounder,"2,00,00,000"
225,Riley Meredith,Bowler,"2,00,00,000"
226,Rahul Buddhi,Batsman,"1,00,00,000"
227,Hrithik Shokeen,All-Rounder,"1,00,00,000"
228,Shikhar Dhawan,Batsman,"2,00,00,000"
229,Kagiso Rabada,Bowler,"2,00,00,000"
230,Jonny Bairstow,Wicket Keeper,"2,00,00,000"
231,Rahul Chahar,Bowler,"2,00,00,000"
232,Harpreet  Brar,All-Rounder,"2,00,00,000"
233,Jitesh Sharma,Wicket Keeper,"1,00,00,000"
234,Prabhsimran Singh,Wicket Keeper,"2,00,00,000"
235,Ishan Porel,Bowler,"1,00,00,000"
236,Odean Smith,All-Rounder,"2,00,00,000"
237,Sandeep Sharma,Bowler,"2,00,00,000"
238,Raj Angad Bawa,All-Rounder,"2,00,00,000"
239,Rishi Dhawan,All-Rounder,"2,00,00,000"
240,Nathan Elis,Bowler,"2,00,00,000"
241,Prerak Mankad,All-Rounder,"1,00,00,000"
242,Atharva Taide,All-Rounder,"1,00,00,000"
243,Bhanuka Rajapaksa,Batsman,"2,00,00,000"
244,Benny Howell,All-Rounder,"1,00,00,000"
245,Writtick Chatterjee,All-Rounder,"1,00,00,000"
246,Baltej Dhanda,Bowler,"1,00,00,000"
247,Ansh Patel,All-Rounder,"1,00,00,000"
248,R. Ashwin,All-Rounder,"2,00,00,000"
249,Shimron Hetmyer,Batsman,"2,00,00,000"
250,Devdutt Padikkal,Batsman,"2,00,00,000"
251,Prasidh Krishna,Bowler,"2,00,00,000"
252,Yuzvendra Chahal,Bowler,"2,00,00,000"
253,Riyan Parag,All-Rounder,"2,00,00,000"
254,James Neesham,All-Rounder,"2,00,00,000"
255,Nathan Coulter-Nile,Bowler,"2,00,00,000"
256,Navdeep Saini,Bowler,"2,00,00,000"
257,Kuldeep  Sen,Bowler,"1,00,00,000"
258,Karun Nair,Batsman,"2,00,00,000"
259,Rassie Van Der Dussen,Batsman,"2,00,00,000"
